"","short","long","gold","silver","bronze","total","long2","yr"
"419","KUW","Kuwait","-","-","1","1","Kuwait","london-2012"
"420","AFG","Afghanistan","-","-","1","1","Afghanistan","london-2012"
"421","HKG","Hong Kong, China","-","-","1","1","Hong Kong, China","london-2012"
"422","TJK","Tajikistan","-","-","1","1","Tajikistan","london-2012"
"423","CMR","Cameroon","-","-","1","1","Cameroon","london-2012"
"424","MAR","Morocco","-","-","1","1","Morocco","london-2012"
"425","CAN","Canada","14","7","5","26","Canada","vancouver-2010"
"426","GER","Germany","10","13","7","30","Germany","vancouver-2010"
"427","USA","United States of America","9","15","13","37","United States of America","vancouver-2010"
"428","NOR","Norway","9","8","6","23","Norway","vancouver-2010"
"429","KOR","Republic of Korea","6","6","2","14","Republic of Korea","vancouver-2010"
"430","SUI","Switzerland","6","-","3","9","Switzerland","vancouver-2010"
"431","CHN","People's Republic of China","5","2","4","11","People's Republic of China","vancouver-2010"
"432","SWE","Sweden","5","2","4","11","Sweden","vancouver-2010"
"433","AUT","Austria","4","6","6","16","Austria","vancouver-2010"
"434","NED","Netherlands","4","1","3","8","Netherlands","vancouver-2010"
"435","RUS","Russian Federation","3","5","7","15","Russian Federation","vancouver-2010"
"436","FRA","France","2","3","6","11","France","vancouver-2010"
"437","AUS","Australia","2","1","-","3","Australia","vancouver-2010"
"438","CZE","Czech Republic","2","-","4","6","Czech Republic","vancouver-2010"
"439","POL","Poland","1","3","2","6","Poland","vancouver-2010"
"440","ITA","Italy","1","1","3","5","Italy","vancouver-2010"
"441","SVK","Slovakia","1","1","1","3","Slovakia","vancouver-2010"
"442","BLR","Belarus","1","1","1","3","Belarus","vancouver-2010"
"443","GBR","Great Britain","1","-","-","1","Great Britain","vancouver-2010"
"444","JPN","Japan","-","3","2","5","Japan","vancouver-2010"
"445","SLO","Slovenia","-","2","1","3","Slovenia","vancouver-2010"
"446","CRO","Croatia","-","2","1","3","Croatia","vancouver-2010"
"447","LAT","Latvia","-","2","-","2","Latvia","vancouver-2010"
"448","FIN","Finland","-","1","4","5","Finland","vancouver-2010"
"449","KAZ","Kazakhstan","-","1","-","1","Kazakhstan","vancouver-2010"
"450","EST","Estonia","-","1","-","1","Estonia","vancouver-2010"
"451","CAN","Canada","14","7","5","26","Canada","vancouver-2010"
"452","GER","Germany","10","13","7","30","Germany","vancouver-2010"
"453","USA","United States of America","9","15","13","37","United States of America","vancouver-2010"
"454","NOR","Norway","9","8","6","23","Norway","vancouver-2010"
"455","KOR","Republic of Korea","6","6","2","14","Republic of Korea","vancouver-2010"
"456","SUI","Switzerland","6","-","3","9","Switzerland","vancouver-2010"
"457","CHN","People's Republic of China","5","2","4","11","People's Republic of China","vancouver-2010"
"458","SWE","Sweden","5","2","4","11","Sweden","vancouver-2010"
"459","AUT","Austria","4","6","6","16","Austria","vancouver-2010"
"460","NED","Netherlands","4","1","3","8","Netherlands","vancouver-2010"
"461","RUS","Russian Federation","3","5","7","15","Russian Federation","vancouver-2010"
"462","FRA","France","2","3","6","11","France","vancouver-2010"
"463","AUS","Australia","2","1","-","3","Australia","vancouver-2010"
"464","CZE","Czech Republic","2","-","4","6","Czech Republic","vancouver-2010"
"465","POL","Poland","1","3","2","6","Poland","vancouver-2010"
"466","ITA","Italy","1","1","3","5","Italy","vancouver-2010"
"467","SVK","Slovakia","1","1","1","3","Slovakia","vancouver-2010"
"468","BLR","Belarus","1","1","1","3","Belarus","vancouver-2010"
"469","GBR","Great Britain","1","-","-","1","Great Britain","vancouver-2010"
"470","JPN","Japan","-","3","2","5","Japan","vancouver-2010"
"471","SLO","Slovenia","-","2","1","3","Slovenia","vancouver-2010"
"472","CRO","Croatia","-","2","1","3","Croatia","vancouver-2010"
"473","LAT","Latvia","-","2","-","2","Latvia","vancouver-2010"
"474","FIN","Finland","-","1","4","5","Finland","vancouver-2010"
"475","KAZ","Kazakhstan","-","1","-","1","Kazakhstan","vancouver-2010"
"476","EST","Estonia","-","1","-","1","Estonia","vancouver-2010"
"477","CHN","People's Republic of China","48","22","30","100","People's Republic of China","beijing-2008"
"478","USA","United States of America","36","39","37","112","United States of America","beijing-2008"
"479","RUS","Russian Federation","24","13","23","60","Russian Federation","beijing-2008"
"480","GBR","Great Britain","19","13","19","51","Great Britain","beijing-2008"
"481","GER","Germany","16","11","14","41","Germany","beijing-2008"
"482","AUS","Australia","14","15","17","46","Australia","beijing-2008"
"483","KOR","Republic of Korea","13","11","8","32","Republic of Korea","beijing-2008"
"484","JPN","Japan","9","8","8","25","Japan","beijing-2008"
"485","ITA","Italy","8","9","10","27","Italy","beijing-2008"
"486","FRA","France","7","16","20","43","France","beijing-2008"
"487","NED","Netherlands","7","5","4","16","Netherlands","beijing-2008"
"488","UKR","Ukraine","7","4","11","22","Ukraine","beijing-2008"
"489","KEN","Kenya","6","4","6","16","Kenya","beijing-2008"
"490","ESP","Spain","5","11","3","19","Spain","beijing-2008"
"491","JAM","Jamaica","5","4","1","10","Jamaica","beijing-2008"
"492","POL","Poland","4","5","2","11","Poland","beijing-2008"
"493","ETH","Ethiopia","4","2","1","7","Ethiopia","beijing-2008"
"494","ROU","Romania","4","1","4","9","Romania","beijing-2008"
"495","CUB","Cuba","3","10","17","30","Cuba","beijing-2008"
"496","CAN","Canada","3","9","8","20","Canada","beijing-2008"
"497","HUN","Hungary","3","5","2","10","Hungary","beijing-2008"
"498","NOR","Norway","3","5","1","9","Norway","beijing-2008"
"499","BRA","Brazil","3","4","10","17","Brazil","beijing-2008"
"500","BLR","Belarus","3","4","7","14","Belarus","beijing-2008"
"501","CZE","Czech Republic","3","3","1","7","Czech Republic","beijing-2008"
"502","SVK","Slovakia","3","3","-","6","Slovakia","beijing-2008"
"503","NZL","New Zealand","3","2","4","9","New Zealand","beijing-2008"
"504","GEO","Georgia","3","2","2","7","Georgia","beijing-2008"
"505","KAZ","Kazakhstan","2","3","4","9","Kazakhstan","beijing-2008"
"506","DEN","Denmark","2","2","3","7","Denmark","beijing-2008"
"507","THA","Thailand","2","2","2","6","Thailand","beijing-2008"
"508","PRK","Democratic People's Republic of Korea","2","2","2","6","Democratic People's Republic of Korea","beijing-2008"
"509","MGL","Mongolia","2","2","-","4","Mongolia","beijing-2008"
"510","SUI","Switzerland","2","1","4","7","Switzerland","beijing-2008"
"511","ARG","Argentina","2","-","4","6","Argentina","beijing-2008"
"512","MEX","Mexico","2","-","2","4","Mexico","beijing-2008"
"513","BEL","Belgium","2","-","-","2","Belgium","beijing-2008"
"514","ZIM","Zimbabwe","1","3","-","4","Zimbabwe","beijing-2008"
"515","SLO","Slovenia","1","2","2","5","Slovenia","beijing-2008"
"516","AZE","Azerbaijan","1","1","4","6","Azerbaijan","beijing-2008"
"517","INA","Indonesia","1","1","4","6","Indonesia","beijing-2008"
"518","TUR","Turkey","1","1","3","5","Turkey","beijing-2008"
"519","BUL","Bulgaria","1","1","3","5","Bulgaria","beijing-2008"
"520","FIN","Finland","1","1","2","4","Finland","beijing-2008"
"521","TPE","Chinese Taipei","1","1","2","4","Chinese Taipei","beijing-2008"
"522","LAT","Latvia","1","1","1","3","Latvia","beijing-2008"
"523","EST","Estonia","1","1","-","2","Estonia","beijing-2008"
"524","POR","Portugal","1","1","-","2","Portugal","beijing-2008"
"525","DOM","Dominican Republic","1","1","-","2","Dominican Republic","beijing-2008"
"526","TTO","Trinidad and Tobago","1","1","-","2","Trinidad and Tobago","beijing-2008"
"527","IND","India","1","-","2","3","India","beijing-2008"
"528","IRI","Islamic Republic of Iran","1","-","1","2","Islamic Republic of Iran","beijing-2008"
"529","CMR","Cameroon","1","-","-","1","Cameroon","beijing-2008"
"530","TUN","Tunisia","1","-","-","1","Tunisia","beijing-2008"
"531","PAN","Panama","1","-","-","1","Panama","beijing-2008"
"532","SWE","Sweden","-","4","1","5","Sweden","beijing-2008"
"533","LTU","Lithuania","-","3","2","5","Lithuania","beijing-2008"
"534","NGR","Nigeria","-","2","3","5","Nigeria","beijing-2008"
"535","CRO","Croatia","-","2","3","5","Croatia","beijing-2008"
"536","COL","Colombia","-","2","1","3","Colombia","beijing-2008"
"537","GRE","Greece","-","2","1","3","Greece","beijing-2008"
"538","ARM","Armenia","-","1","4","5","Armenia","beijing-2008"
"539","UZB","Uzbekistan","-","1","3","4","Uzbekistan","beijing-2008"
"540","AUT","Austria","-","1","2","3","Austria","beijing-2008"
"541","IRL","Ireland","-","1","2","3","Ireland","beijing-2008"
"542","SRB","Serbia","-","1","2","3","Serbia","beijing-2008"
"543","KGZ","Kyrgyzstan","-","1","2","3","Kyrgyzstan","beijing-2008"
"544","ALG","Algeria","-","1","1","2","Algeria","beijing-2008"
"545","BAH","Bahamas","-","1","1","2","Bahamas","beijing-2008"
"546","MAR","Morocco","-","1","1","2","Morocco","beijing-2008"
"547","TJK","Tajikistan","-","1","1","2","Tajikistan","beijing-2008"
"548","CHI","Chile","-","1","-","1","Chile","beijing-2008"
"549","MAS","Malaysia","-","1","-","1","Malaysia","beijing-2008"
"550","SUD","Sudan","-","1","-","1","Sudan","beijing-2008"
"551","ECU","Ecuador","-","1","-","1","Ecuador","beijing-2008"
"552","VIE","Vietnam","-","1","-","1","Vietnam","beijing-2008"
"553","ISL","Iceland","-","1","-","1","Iceland","beijing-2008"
"554","SGP","Singapore","-","1","-","1","Singapore","beijing-2008"
"555","RSA","South Africa","-","1","-","1","South Africa","beijing-2008"
"556","SAM","Samoa","-","1","-","1","Samoa","beijing-2008"
"557","EGY","Egypt","-","-","2","2","Egypt","beijing-2008"
"558","MDA","Republic of Moldova","-","-","1","1","Republic of Moldova","beijing-2008"
"559","ISR","Israel","-","-","1","1","Israel","beijing-2008"
"560","MRI","Mauritius","-","-","1","1","Mauritius","beijing-2008"
"561","AFG","Afghanistan","-","-","1","1","Afghanistan","beijing-2008"
"562","VEN","Venezuela","-","-","1","1","Venezuela","beijing-2008"
"563","TOG","Togo","-","-","1","1","Togo","beijing-2008"
"564","CHN","People's Republic of China","48","22","30","100","People's Republic of China","beijing-2008"
"565","USA","United States of America","36","39","37","112","United States of America","beijing-2008"
"566","RUS","Russian Federation","24","13","23","60","Russian Federation","beijing-2008"
"567","GBR","Great Britain","19","13","19","51","Great Britain","beijing-2008"
"568","GER","Germany","16","11","14","41","Germany","beijing-2008"
"569","AUS","Australia","14","15","17","46","Australia","beijing-2008"
"570","KOR","Republic of Korea","13","11","8","32","Republic of Korea","beijing-2008"
"571","JPN","Japan","9","8","8","25","Japan","beijing-2008"
"572","ITA","Italy","8","9","10","27","Italy","beijing-2008"
"573","FRA","France","7","16","20","43","France","beijing-2008"
"574","NED","Netherlands","7","5","4","16","Netherlands","beijing-2008"
"575","UKR","Ukraine","7","4","11","22","Ukraine","beijing-2008"
"576","KEN","Kenya","6","4","6","16","Kenya","beijing-2008"
"577","ESP","Spain","5","11","3","19","Spain","beijing-2008"
"578","JAM","Jamaica","5","4","1","10","Jamaica","beijing-2008"
"579","POL","Poland","4","5","2","11","Poland","beijing-2008"
"580","ETH","Ethiopia","4","2","1","7","Ethiopia","beijing-2008"
"581","ROU","Romania","4","1","4","9","Romania","beijing-2008"
"582","CUB","Cuba","3","10","17","30","Cuba","beijing-2008"
"583","CAN","Canada","3","9","8","20","Canada","beijing-2008"
"584","HUN","Hungary","3","5","2","10","Hungary","beijing-2008"
"585","NOR","Norway","3","5","1","9","Norway","beijing-2008"
"586","BRA","Brazil","3","4","10","17","Brazil","beijing-2008"
"587","BLR","Belarus","3","4","7","14","Belarus","beijing-2008"
"588","CZE","Czech Republic","3","3","1","7","Czech Republic","beijing-2008"
"589","SVK","Slovakia","3","3","-","6","Slovakia","beijing-2008"
"590","NZL","New Zealand","3","2","4","9","New Zealand","beijing-2008"
"591","GEO","Georgia","3","2","2","7","Georgia","beijing-2008"
"592","KAZ","Kazakhstan","2","3","4","9","Kazakhstan","beijing-2008"
"593","DEN","Denmark","2","2","3","7","Denmark","beijing-2008"
"594","THA","Thailand","2","2","2","6","Thailand","beijing-2008"
"595","PRK","Democratic People's Republic of Korea","2","2","2","6","Democratic People's Republic of Korea","beijing-2008"
"596","MGL","Mongolia","2","2","-","4","Mongolia","beijing-2008"
"597","SUI","Switzerland","2","1","4","7","Switzerland","beijing-2008"
"598","ARG","Argentina","2","-","4","6","Argentina","beijing-2008"
"599","MEX","Mexico","2","-","2","4","Mexico","beijing-2008"
"600","BEL","Belgium","2","-","-","2","Belgium","beijing-2008"
"601","ZIM","Zimbabwe","1","3","-","4","Zimbabwe","beijing-2008"
"602","SLO","Slovenia","1","2","2","5","Slovenia","beijing-2008"
"603","AZE","Azerbaijan","1","1","4","6","Azerbaijan","beijing-2008"
"604","INA","Indonesia","1","1","4","6","Indonesia","beijing-2008"
"605","TUR","Turkey","1","1","3","5","Turkey","beijing-2008"
"606","BUL","Bulgaria","1","1","3","5","Bulgaria","beijing-2008"
"607","FIN","Finland","1","1","2","4","Finland","beijing-2008"
"608","TPE","Chinese Taipei","1","1","2","4","Chinese Taipei","beijing-2008"
"609","LAT","Latvia","1","1","1","3","Latvia","beijing-2008"
"610","EST","Estonia","1","1","-","2","Estonia","beijing-2008"
"611","POR","Portugal","1","1","-","2","Portugal","beijing-2008"
"612","DOM","Dominican Republic","1","1","-","2","Dominican Republic","beijing-2008"
"613","TTO","Trinidad and Tobago","1","1","-","2","Trinidad and Tobago","beijing-2008"
"614","IND","India","1","-","2","3","India","beijing-2008"
"615","IRI","Islamic Republic of Iran","1","-","1","2","Islamic Republic of Iran","beijing-2008"
"616","CMR","Cameroon","1","-","-","1","Cameroon","beijing-2008"
"617","TUN","Tunisia","1","-","-","1","Tunisia","beijing-2008"
"618","PAN","Panama","1","-","-","1","Panama","beijing-2008"
"619","SWE","Sweden","-","4","1","5","Sweden","beijing-2008"
"620","LTU","Lithuania","-","3","2","5","Lithuania","beijing-2008"
"621","NGR","Nigeria","-","2","3","5","Nigeria","beijing-2008"
"622","CRO","Croatia","-","2","3","5","Croatia","beijing-2008"
"623","COL","Colombia","-","2","1","3","Colombia","beijing-2008"
"624","GRE","Greece","-","2","1","3","Greece","beijing-2008"
"625","ARM","Armenia","-","1","4","5","Armenia","beijing-2008"
"626","UZB","Uzbekistan","-","1","3","4","Uzbekistan","beijing-2008"
"627","AUT","Austria","-","1","2","3","Austria","beijing-2008"
"628","IRL","Ireland","-","1","2","3","Ireland","beijing-2008"
"629","SRB","Serbia","-","1","2","3","Serbia","beijing-2008"
"630","KGZ","Kyrgyzstan","-","1","2","3","Kyrgyzstan","beijing-2008"
"631","ALG","Algeria","-","1","1","2","Algeria","beijing-2008"
"632","BAH","Bahamas","-","1","1","2","Bahamas","beijing-2008"
"633","MAR","Morocco","-","1","1","2","Morocco","beijing-2008"
"634","TJK","Tajikistan","-","1","1","2","Tajikistan","beijing-2008"
"635","CHI","Chile","-","1","-","1","Chile","beijing-2008"
"636","MAS","Malaysia","-","1","-","1","Malaysia","beijing-2008"
"637","SUD","Sudan","-","1","-","1","Sudan","beijing-2008"
"638","ECU","Ecuador","-","1","-","1","Ecuador","beijing-2008"
"639","VIE","Vietnam","-","1","-","1","Vietnam","beijing-2008"
"640","ISL","Iceland","-","1","-","1","Iceland","beijing-2008"
"641","SGP","Singapore","-","1","-","1","Singapore","beijing-2008"
"642","RSA","South Africa","-","1","-","1","South Africa","beijing-2008"
"643","SAM","Samoa","-","1","-","1","Samoa","beijing-2008"
"644","EGY","Egypt","-","-","2","2","Egypt","beijing-2008"
"645","MDA","Republic of Moldova","-","-","1","1","Republic of Moldova","beijing-2008"
"646","ISR","Israel","-","-","1","1","Israel","beijing-2008"
"647","MRI","Mauritius","-","-","1","1","Mauritius","beijing-2008"
"648","AFG","Afghanistan","-","-","1","1","Afghanistan","beijing-2008"
"649","VEN","Venezuela","-","-","1","1","Venezuela","beijing-2008"
"650","TOG","Togo","-","-","1","1","Togo","beijing-2008"
"651","GER","Germany","11","12","6","29","Germany","turin-2006"
"652","USA","United States of America","9","9","7","25","United States of America","turin-2006"
"653","AUT","Austria","9","7","7","23","Austria","turin-2006"
"654","RUS","Russian Federation","8","6","8","22","Russian Federation","turin-2006"
"655","CAN","Canada","7","10","7","24","Canada","turin-2006"
"656","SWE","Sweden","7","2","5","14","Sweden","turin-2006"
"657","KOR","Republic of Korea","6","3","2","11","Republic of Korea","turin-2006"
"658","SUI","Switzerland","5","4","5","14","Switzerland","turin-2006"
"659","ITA","Italy","5","-","6","11","Italy","turin-2006"
"660","FRA","France","3","2","4","9","France","turin-2006"
"661","NED","Netherlands","3","2","4","9","Netherlands","turin-2006"
"662","EST","Estonia","3","-","-","3","Estonia","turin-2006"
"663","NOR","Norway","2","8","9","19","Norway","turin-2006"
"664","CHN","People's Republic of China","2","4","5","11","People's Republic of China","turin-2006"
"665","CZE","Czech Republic","1","2","1","4","Czech Republic","turin-2006"
"666","CRO","Croatia","1","2","-","3","Croatia","turin-2006"
"667","AUS","Australia","1","-","1","2","Australia","turin-2006"
"668","JPN","Japan","1","-","-","1","Japan","turin-2006"
"669","FIN","Finland","-","6","3","9","Finland","turin-2006"
"670","POL","Poland","-","1","1","2","Poland","turin-2006"
